BAC_PID,BAC_ACCNO,BAC_ACCTYPE,BAC_BALANCE,BAC_LAST_STMT_DTE,BAC_LAST_STMT_BAL,BAC_ATM_ENABLED,BAC_ATM_DAY_LIMIT,BAC_ATM_DAY_DTE,BAC_ATM_DAY_AMT,BAC_RP1_DAY,BAC_RP1_AMOUNT,BAC_RP1_PID,BAC_RP1_ACCNO,BAC_RP1_LAST_PAY,BAC_RP2_DAY,BAC_RP2_AMOUNT,BAC_RP2_PID,BAC_RP2_ACCNO,BAC_RP2_LAST_PAY,BAC_RP3_DAY,BAC_RP3_AMOUNT,BAC_RP3_PID,BAC_RP3_ACCNO,BAC_RP3_LAST_PAY,BAC_FILLER
T0001,000000001,1,91.14,2012-01-03,91.14,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
T0001,000000002,2,-79.40,2012-01-03,-79.40,Y ,300,1900-01-01,0,01,23.50,T0001,000000001,2007-11-01,15,10.00,T0001,000000003,2007-11-15,21,5.00,T0001,000000005,2007-12-21,                                                           
T0001,000000003,3,795.52,2012-01-03,795.52,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
T0001,000000004,4,192.24,2012-01-03,192.24,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
T0001,000000005,5,1453.97,2012-01-03,1453.97,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0004,014289253,2,-79.40,2012-01-03,-79.40,Y ,300,1900-01-01,0,01,23.50,B0004,310781989,2007-11-01,15,10.00,B0004,338886041,2007-12-01,00,.00,     ,         ,1900-01-01,                                                           
B0015,021501544,1,222.60,2012-01-03,222.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0026,025399550,4,351.00,2012-01-03,351.00,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0019,048424439,4,526.05,2012-01-03,526.05,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0035,054228132,4,252.56,2012-01-03,252.56,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0004,067606426,4,192.24,2012-01-03,192.24,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0004,067606427,5,1453.97,2012-01-03,1453.97,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0028,090543026,4,682.08,2012-01-03,682.08,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0011,097510533,4,292.50,2012-01-03,292.50,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0026,103842702,2,2.98,2012-01-03,2.98,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0014,104289253,2,-79.40,2012-01-03,-79.40,Y ,300,1900-01-01,0,01,23.50,B0004,310781989,2007-11-01,15,10.00,B0004,338886041,2007-12-01,00,.00,     ,         ,1900-01-01,                                                           
B0008,126195094,3,423.60,2012-01-03,423.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0014,130781989,3,795.52,2012-01-03,795.52,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0029,143898379,4,697.60,2012-01-03,697.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0021,148367063,3,397.94,2012-01-03,397.94,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0034,154460444,2,271.44,2012-01-03,271.44,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0019,159914519,2,336.87,2012-01-03,336.87,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0023,178238731,1,432.39,2012-01-03,432.39,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0029,213882639,5,121.41,2012-01-03,121.41,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0034,228552724,4,79.92,2012-01-03,79.92,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0016,250299477,3,148.50,2012-01-03,148.50,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0025,255909083,4,1.68,2012-01-03,1.68,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0018,273895979,4,158.20,2012-01-03,158.20,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0003,280458951,5,372.24,2012-01-03,372.24,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0021,287569396,1,246.01,2012-01-03,246.01,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0025,289919943,1,277.30,2012-01-03,277.30,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0031,302433706,3,134.20,2012-01-03,134.20,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0018,310165991,1,497.76,2012-01-03,497.76,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0004,310781989,3,795.52,2012-01-03,795.52,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0009,315929853,1,126.16,2012-01-03,126.16,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0025,323914645,2,66.57,2012-01-03,66.57,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0015,334909021,3,115.92,2012-01-03,115.92,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0004,338886041,1,91.14,2012-01-03,91.14,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0029,374126010,3,809.55,2012-01-03,809.55,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0036,388063602,5,399.33,2012-01-03,399.33,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0035,389624103,5,858.78,2012-01-03,858.78,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0005,394333383,1,45.24,2012-01-03,45.24,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0010,403280080,1,491.64,2012-01-03,491.64,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
